Time,Activity,Accelerometer.X,Accelerometer.Y,Accelerometer.Z,ID
2014-09-13T10:28:03Z,notMoving,-0.19,-0.5,-0.81,G!_Bk!
2014-09-13T10:28:04Z,notMoving,-4.06,-1.19,7.94,G!_Bk!
2014-09-13T10:28:05Z,CLIP,-2.38,-0.56,-0.69,G!_Bk!
2014-09-13T10:28:06Z,CLIP,-1.44,-0.69,-0.88,G!_Bk!
2014-09-13T10:28:06Z,CLIP,-1.44,-0.69,-0.88,G!_Bk!
2014-09-13T10:28:07Z,CLIP,-1,-0.81,-1,G!_Bk!
2014-09-13T10:28:07Z,CLIP,-1,-0.81,-1,G!_Bk!
2014-09-13T10:28:08Z,CLIP,-0.31,0.13,-0.69,G!_Bk!
2014-09-13T10:28:10Z,CLIP,-0.5,-0.56,-0.63,G!_Bk!
2014-09-13T10:28:11Z,CLIP,-0.31,-0.63,-0.38,G!_Bk!
2014-09-13T10:28:11Z,CLIP,-0.31,-0.63,-0.38,G!_Bk!
2014-09-13T10:28:12Z,CLIP,0.63,-0.88,0.13,G!_Bk!
2014-09-13T10:28:12Z,CLIP,0.63,-0.88,0.13,G!_Bk!
2014-09-13T10:28:13Z,CLIP,0.31,-0.56,-1,G!_Bk!
2014-09-13T10:28:13Z,CLIP,0.31,-0.56,-1,G!_Bk!
2014-09-13T10:28:14Z,CLIP,-0.19,0.19,-0.44,G!_Bk!
2014-09-13T10:28:14Z,CLIP,-0.19,0.19,-0.44,G!_Bk!
2014-09-13T10:28:15Z,CLIP,-0.75,0.5,-0.31,G!_Bk!
2014-09-13T10:28:17Z,CLIP,-0.13,-0.06,-0.94,G!_Bk!
2014-09-13T10:28:18Z,CLIP,0,-0.31,-0.88,G!_Bk!
2014-09-13T10:28:19Z,notMoving,0.13,-0.44,-0.88,G!_Bk!
2014-09-13T10:28:20Z,notMoving,0,-0.63,0.06,G!_Bk!
2014-09-13T10:28:21Z,CLIP,-0.06,-0.63,-0.88,G!_Bk!
2014-09-13T10:28:22Z,CLIP,-0.06,-0.56,-0.94,G!_Bk!
2014-09-13T10:28:22Z,CLIP,-0.06,-0.56,-0.94,G!_Bk!
2014-09-13T10:28:23Z,CLIP,-0.13,-0.56,-0.25,G!_Bk!
2014-09-13T10:28:23Z,CLIP,-0.13,-0.56,-0.25,G!_Bk!
2014-09-13T10:28:24Z,CLIP,-0.13,-0.38,-1,G!_Bk!
2014-09-13T10:28:24Z,CLIP,-0.13,-0.38,-1,G!_Bk!
2014-09-13T10:28:25Z,CLIP,-0.38,0.13,-0.44,G!_Bk!
2014-09-13T10:28:25Z,CLIP,-0.38,0.13,-0.44,G!_Bk!
2014-09-13T10:28:26Z,CLIP,-0.25,0.06,-1.06,G!_Bk!
2014-09-13T10:28:26Z,CLIP,-0.25,0.06,-1.06,G!_Bk!
2014-09-13T10:28:27Z,CLIP,-1.25,0.88,0.75,G!_Bk!
2014-09-13T10:28:27Z,CLIP,-1.25,0.88,0.75,G!_Bk!
2014-09-13T10:28:28Z,CLIP,-1.31,0.69,-1.5,G!_Bk!
2014-09-13T10:28:28Z,CLIP,-1.31,0.69,-1.5,G!_Bk!
2014-09-13T10:28:29Z,CLIP,-0.38,-0.19,0.31,G!_Bk!
2014-09-13T10:28:29Z,CLIP,-0.38,-0.19,0.31,G!_Bk!
2014-09-13T10:28:30Z,CLIP,-1.38,-0.25,0.38,G!_Bk!
2014-09-13T10:28:30Z,CLIP,-1.38,-0.25,0.38,G!_Bk!
2014-09-13T10:28:31Z,CLIP,-1.13,0.13,-0.38,G!_Bk!
2014-09-13T10:28:31Z,CLIP,-1.13,0.13,-0.38,G!_Bk!
2014-09-13T10:28:32Z,CLIP,-1.13,-0.5,-0.19,G!_Bk!
2014-09-13T10:28:32Z,CLIP,-1.13,-0.5,-0.19,G!_Bk!
2014-09-13T10:28:33Z,CLIP,-1.25,-0.56,-0.5,G!_Bk!
2014-09-13T10:28:33Z,CLIP,-1.25,-0.56,-0.5,G!_Bk!
2014-09-13T10:28:34Z,CLIP,-1.13,0.69,-0.25,G!_Bk!
2014-09-13T10:28:34Z,CLIP,-1.13,0.69,-0.25,G!_Bk!
2014-09-13T10:28:35Z,CLIP,-0.19,0.19,-0.44,G!_Bk!
2014-09-13T10:28:35Z,CLIP,-0.19,0.19,-0.44,G!_Bk!
2014-09-13T10:28:36Z,CLIP,-0.13,-0.19,-1,G!_Bk!
2014-09-13T10:28:36Z,CLIP,-0.13,-0.19,-1,G!_Bk!
2014-09-13T10:28:37Z,CLIP,-0.38,0.06,-0.94,G!_Bk!
2014-09-13T10:28:37Z,CLIP,-0.38,0.06,-0.94,G!_Bk!
2014-09-13T10:28:38Z,CLIP,-0.13,0.81,-1.75,G!_Bk!
2014-09-13T10:28:38Z,CLIP,-0.13,0.81,-1.75,G!_Bk!
2014-09-13T10:28:39Z,CLIP,-0.56,0.94,-0.63,G!_Bk!
2014-09-13T10:28:39Z,CLIP,-0.56,0.94,-0.63,G!_Bk!
