time,Activity,Accelerometer.X,Accelerometer.Y,Accelerometer.Z,ID,Ind_ID
2014-09-13 10:28:03,notMoving,-0.19,-0.5,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:28:04,notMoving,-4.06,-1.19,7.94,G!_Bk!,G!_Bk!
2014-09-13 10:28:05,CLIP,-2.38,-0.56,-0.69,G!_Bk!,G!_Bk!
2014-09-13 10:28:06,CLIP,-1.44,-0.69,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:28:06,CLIP,-1.44,-0.69,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:28:07,CLIP,-1,-0.81,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:07,CLIP,-1,-0.81,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:08,CLIP,-0.31,0.13,-0.69,G!_Bk!,G!_Bk!
2014-09-13 10:28:10,CLIP,-0.5,-0.56,-0.63,G!_Bk!,G!_Bk!
2014-09-13 10:28:11,CLIP,-0.31,-0.63,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:11,CLIP,-0.31,-0.63,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:12,CLIP,0.63,-0.88,0.13,G!_Bk!,G!_Bk!
2014-09-13 10:28:12,CLIP,0.63,-0.88,0.13,G!_Bk!,G!_Bk!
2014-09-13 10:28:13,CLIP,0.31,-0.56,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:13,CLIP,0.31,-0.56,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:14,CLIP,-0.19,0.19,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:28:14,CLIP,-0.19,0.19,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:28:15,CLIP,-0.75,0.5,-0.31,G!_Bk!,G!_Bk!
2014-09-13 10:28:17,CLIP,-0.13,-0.06,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:28:18,CLIP,0,-0.31,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:28:19,notMoving,0.13,-0.44,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:28:20,notMoving,0,-0.63,0.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:21,CLIP,-0.06,-0.63,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:28:22,CLIP,-0.06,-0.56,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:28:22,CLIP,-0.06,-0.56,-0.94,G!_Bk!,G!_Bk!
2014-09-13 10:28:23,CLIP,-0.13,-0.56,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:28:23,CLIP,-0.13,-0.56,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:28:24,CLIP,-0.13,-0.38,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:24,CLIP,-0.13,-0.38,-1,G!_Bk!,G!_Bk!
2014-09-13 10:28:25,CLIP,-0.38,0.13,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:28:25,CLIP,-0.38,0.13,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:28:26,CLIP,-0.25,0.06,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:26,CLIP,-0.25,0.06,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:28:27,CLIP,-1.25,0.88,0.75,G!_Bk!,G!_Bk!
2014-09-13 10:28:27,CLIP,-1.25,0.88,0.75,G!_Bk!,G!_Bk!
2014-09-13 10:28:28,CLIP,-1.31,0.69,-1.5,G!_Bk!,G!_Bk!
2014-09-13 10:28:28,CLIP,-1.31,0.69,-1.5,G!_Bk!,G!_Bk!
2014-09-13 10:28:29,CLIP,-0.38,-0.19,0.31,G!_Bk!,G!_Bk!
2014-09-13 10:28:29,CLIP,-0.38,-0.19,0.31,G!_Bk!,G!_Bk!
2014-09-13 10:28:30,CLIP,-1.38,-0.25,0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:30,CLIP,-1.38,-0.25,0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:31,CLIP,-1.13,0.13,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:31,CLIP,-1.13,0.13,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:28:32,CLIP,-1.13,-0.5,-0.19,G!_Bk!,G!_Bk!
2014-09-13 10:28:32,CLIP,-1.13,-0.5,-0.19,G!_Bk!,G!_Bk!
2014-09-13 10:28:33,CLIP,-1.25,-0.56,-0.5,G!_Bk!,G!_Bk!
